participantId,TaskId,x,y,right_pupil_diameter,left_pupil_diameter,right_validation,left_validation,tracker_time,event_id,website_result,website_url,duration,fixationId
5,Peyton,1094.611,436.278,3.10714721679688,3.00276184082031,1,1,1619038481289862,132635117965549115,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,283,93
5,Peyton,617.600,483.300,3.1083984375,3.08726501464844,1,1,1619038481639813,132635117969048276,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,149,94
5,Peyton,542.214,491.286,3.057373046875,3.0684814453125,1,1,1619038481823127,132635117970881549,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,216,95
5,Peyton,673.400,468.600,3.05038452148438,3.09634399414063,1,1,1619038482073089,132635117973379751,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,149,96
5,Peyton,785.529,456.882,3.12594604492188,3.06997680664063,1,1,1619038482256398,132635117975214195,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,266,97
5,Peyton,873.000,454.600,3.11683654785156,2.99897766113281,1,1,1619038482556362,132635117978213996,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,149,98
5,Peyton,995.875,457.625,3.1148681640625,2.91081237792969,1,1,1619038482756336,132635117980214112,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,383,99
5,Peyton,780.417,486.750,3.05369567871094,3.08541870117188,1,1,1619038483189613,132635117984546420,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,100
5,Peyton,661.182,505.727,3.03729248046875,3.07118225097656,1,1,1619038483406251,132635117986712864,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,166,101
5,Peyton,560.522,514.217,3.09626770019531,3.06864929199219,1,1,1619038483606230,132635117988712916,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,366,102
5,Peyton,651.917,507.917,3.08366394042969,3.12162780761719,1,1,1619038484006171,132635117992713085,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,103
5,Peyton,709.500,501.792,3.06443786621094,3.03622436523438,1,1,1619038484222811,132635117994878651,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,383,104
5,Peyton,525.422,814.800,3.20359802246094,3.11988830566406,1,1,1619038484656087,132635117999212183,,,733,105
5,Peyton,602.689,656.000,3.31416320800781,3.18344116210938,1,1,1619038485439322,132635118007046112,Comment Body-issuecomment-201534326-0ms,https://github.com/opensim-org/opensim-core/pull/894,733,106
5,Peyton,675.313,608.188,3.3038330078125,3.23971557617188,1,1,1619038486205879,132635118014710527,Comment Body-issuecomment-201534326-0ms,https://github.com/opensim-org/opensim-core/pull/894,249,107
5,Peyton,704.961,619.677,3.07496643066406,3.20436096191406,1,1,1619038486505846,132635118017709858,,,2099,108
5,Peyton,545.357,722.679,3.50296020507813,3.35934448242188,1,1,1619038488655566,132635118039208234,,,449,109
5,Peyton,575.435,764.174,3.51272583007813,3.34698486328125,1,1,1619038489138833,132635118044040616,Username-tkuchida-0ms,https://github.com/opensim-org/opensim-core/pull/894,366,110
5,Peyton,642.000,707.724,3.43785095214844,3.31204223632813,1,1,1619038489538783,132635118048040426,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,466,111
5,Peyton,839.067,699.600,3.34834289550781,3.20988464355469,1,1,1619038490055384,132635118053206852,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,233,112
5,Peyton,645.714,706.905,3.3079833984375,3.22917175292969,1,1,1619038490405337,132635118056705839,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,333,114
5,Peyton,722.833,696.667,3.29763793945313,3.22138977050781,1,1,1619038490771954,132635118060372422,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,115
5,Peyton,618.036,707.000,3.30656433105469,3.21224975585938,1,1,1619038490988598,132635118062539512,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,449,116
5,Peyton,623.250,707.500,3.42384338378906,3.2802734375,1,1,1619038491638509,132635118069039105,,,116,117
5,Peyton,762.364,701.273,3.38151550292969,3.26673889160156,1,1,1619038491788487,132635118070537400,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,166,118
5,Peyton,869.143,703.000,3.41453552246094,3.31753540039063,1,1,1619038491988462,132635118072538639,Comment Body-discussion_r57496377--1ms,https://github.com/opensim-org/opensim-core/pull/894,99,119
5,Peyton,861.167,699.167,3.35783386230469,3.21723937988281,1,1,1619038492138446,132635118074037647,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,83,120
5,Peyton,600.034,724.931,3.33277893066406,3.23890686035156,1,1,1619038492271759,132635118075370465,,,466,121
5,Peyton,808.139,591.917,3.3765869140625,3.29063415527344,1,1,1619038492788357,132635118080536097,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,583,122
5,Peyton,737.250,582.500,3.23542785644531,3.22250366210938,1,1,1619038493404951,132635118086701820,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,123
5,Peyton,600.353,544.118,3.30302429199219,3.18296813964844,1,1,1619038493638247,132635118089034746,File-OpenSim/Simulation/SimbodyEngine/Joint.cpp-0ms,https://github.com/opensim-org/opensim-core/pull/894,266,124
5,Peyton,584.200,703.050,3.32341003417969,3.20176696777344,1,1,1619038493971539,132635118092367181,Comment Body-discussion_r57498589--1ms,https://github.com/opensim-org/opensim-core/pull/894,316,125
